deal_qualilty,hyperlink,mile,name,object,other_attributes,price,self.year
GOOD DEAL,https://www.cars.com/vehicledetail/detail/725437367/overview/,"81,643 mi.",2014 Honda CR-V EX,,"Exterior Color: Gray,Interior Color: Gray,Transmission: 5-Speed Automatic,Drivetrain: AWD","$15,791",2014
GOOD DEAL,https://www.cars.com/vehicledetail/detail/714440182/overview/,"53,304 mi.",2014 Kia Sorento LX,,"Exterior Color: Titanium Silver,Interior Color: Beige,Transmission: 6-Speed Shiftable Automatic,Drivetrain: All Wheel Drive","$13,995",2014
NOT A GOOD DEAL,https://www.cars.com/vehicledetail/detail/723641921/overview/,"43,333 mi.",2014 Ford Escape Titanium,,"Exterior Color: White Platinum Tri-Coat,Interior Color: Charcoal Black,Transmission: 6-Speed Automatic,Drivetrain: 4WD","$14,849",2014
GOOD DEAL,https://www.cars.com/vehicledetail/detail/714467543/overview/,"12,278 mi.",2014 Jeep Compass Latitude,,"Exterior Color: Bright Silver Clearcoat Metallic,Interior Color: Light Pebble Beige / Dark Slate Gra,Transmission: Automatic,Drivetrain: FWD","$14,995",2014
GOOD DEAL,https://www.cars.com/vehicledetail/detail/726262357/overview/,"27,043 mi.",2014 Mitsubishi Outlander Sport ES,,"Exterior Color: White Pearl,Interior Color: Black,Transmission: Automatic CVT,Drivetrain: 4WD","$12,995",2014
FAIR PRICE,https://www.cars.com/vehicledetail/detail/726001474/overview/,"53,662 mi.",2014 Honda CR-V EX-L,,"Exterior Color: Crystal Black Pearl,Interior Color: Black,Transmission: 5-Speed Automatic,Drivetrain: All Wheel Drive","$19,998",2014
FAIR PRICE,https://www.cars.com/vehicledetail/detail/722518489/overview/,"75,137 mi.",2014 Toyota RAV4 Limited,,"Exterior Color: Blizzard Pearl,Interior Color: Black,Transmission: 6-Speed Automatic,Drivetrain: All Wheel Drive","$19,998",2014
GOOD DEAL,https://www.cars.com/vehicledetail/detail/720482476/overview/,"31,311 mi.",2014 Hyundai Santa Fe Sport 2.0L Turbo,,"Exterior Color: Serrano Red,Interior Color: Beige,Transmission: 6-Speed Automatic w/OD,Drivetrain: All Wheel Drive","$18,999",2014
GREAT DEAL,https://www.cars.com/vehicledetail/detail/725086482/overview/,"91,367 mi.",2014 Ford Escape Titanium,,"Exterior Color: Black,Interior Color: Charcoal Black,Transmission: 6-Speed Automatic,Drivetrain: FWD","$10,950",2014
GREAT DEAL,https://www.cars.com/vehicledetail/detail/726120983/overview/,"30,129 mi.",2014 Honda CR-V LX,,"Exterior Color: Charcoal,Interior Color: Gray,Transmission: 5-Speed Automatic,Drivetrain: AWD","$14,360",2014
GREAT DEAL,https://www.cars.com/vehicledetail/detail/669040509/overview/,"47,360 mi.",2014 Jeep Patriot Limited,,"Exterior Color: Blue,Interior Color: Black,Transmission: Automatic,Drivetrain: 4WD","$12,990",2014
GREAT DEAL,https://www.cars.com/vehicledetail/detail/669413502/overview/,"68,347 mi.",2014 Nissan Rogue S,,"Exterior Color: Gun Metallic,Interior Color: Black,Transmission: Automatic CVT,Drivetrain: AWD","$12,290",2014
GOOD DEAL,https://www.cars.com/vehicledetail/detail/730975280/overview/,"67,616 mi.",2014 Honda CR-V EX,,"Exterior Color: White Diamond Pearl,Interior Color: Beige,Transmission: 5-Speed Automatic,Drivetrain: AWD","$15,510",2014
GOOD DEAL,https://www.cars.com/vehicledetail/detail/729498341/overview/,"64,388 mi.",2014 Chevrolet Equinox 1LT,,"Exterior Color: Crystal Red Tintcoat,Interior Color: Jet Black,Transmission: 6-SPEED A/T,Drivetrain: All Wheel Drive","$15,770",2014
GREAT DEAL,https://www.cars.com/vehicledetail/detail/725571832/overview/,"23,617 mi.",2014 Volkswagen Tiguan S 4MOTION,,"Exterior Color: Night Blue Metallic,Interior Color: Black,Transmission: 6-speed Automatic w/OD,Drivetrain: All Wheel Drive","$12,995",2014
GOOD DEAL,https://www.cars.com/vehicledetail/detail/727799635/overview/,"52,934 mi.",2014 Mazda CX-9 Touring AWD,,"Exterior Color: Zeal Red Mica,Interior Color: Sand,Transmission: 6-speed Automatic w/OD,Drivetrain: All Wheel Drive","$16,995",2014
GOOD DEAL,https://www.cars.com/vehicledetail/detail/727885415/overview/,"44,514 mi.",2014 Mazda CX-9 Grand Touring AWD,,"Exterior Color: Blue Reflex Mica,Interior Color: Sand,Transmission: 6-speed Automatic w/OD,Drivetrain: All Wheel Drive","$18,995",2014
GOOD DEAL,https://www.cars.com/vehicledetail/detail/727949694/overview/,"56,649 mi.",2014 Mazda CX-9 Touring AWD,,"Exterior Color: Zeal Red Mica,Interior Color: Black,Transmission: 6-speed Automatic w/OD,Drivetrain: All Wheel Drive","$15,995",2014
NOT A GOOD DEAL,https://www.cars.com/vehicledetail/detail/701334958/overview/,"16,733 mi.",2014 MINI Paceman Cooper,,"Exterior Color: Starlight Blue Metallic,Interior Color: Satellite Gray,Transmission: 6-Speed Automatic,Drivetrain: All Wheel Drive","$13,995",2014
GOOD DEAL,https://www.cars.com/vehicledetail/detail/727682554/overview/,"47,372 mi.",2014 Honda CR-V EX-L,,"Exterior Color: White Diamond Pearl,Interior Color: Black,Transmission: 5-speed Automatic w/OD,Drivetrain: All Wheel Drive","$16,995",2014
NOT A GOOD DEAL,https://www.cars.com/vehicledetail/detail/728808785/overview/,"41,251 mi.",2014 Kia Sorento SX Limited,,"Exterior Color: White,Transmission: 6-SPEED A/T,Drivetrain: Front Wheel Drive","$20,000",2014
GOOD DEAL,https://www.cars.com/vehicledetail/detail/703585913/overview/,"37,226 mi.",2014 Nissan Murano S,,"Exterior Color: Super Black,Interior Color: Black,Transmission: xtronic continuously variable (cvt),Drivetrain: All-wheel Drive","$16,400",2014
GOOD DEAL,https://www.cars.com/vehicledetail/detail/719867397/overview/,"33,753 mi.",2014 Kia Sorento EX,,"Exterior Color: White,Interior Color: Beige,Transmission: 6-Speed Automatic,Drivetrain: AWD","$19,595",2014
GREAT DEAL,https://www.cars.com/vehicledetail/detail/720403913/overview/,"39,909 mi.",2014 Ford Edge SEL,,"Exterior Color: Deep Impact Blue Metallic,Interior Color: Medium Light Stone,Transmission: 6-Speed Automatic,Drivetrain: AWD","$19,870",2014
GREAT DEAL,https://www.cars.com/vehicledetail/detail/721609267/overview/,"25,797 mi.",2014 Toyota Venza LE,,"Exterior Color: Gray,Interior Color: Black,Transmission: 6-Speed Automatic,Drivetrain: FWD","$15,700",2014
GREAT DEAL,https://www.cars.com/vehicledetail/detail/725013509/overview/,"42,204 mi.",2014 Buick Encore Convenience,,"Exterior Color: Carbon Black Metallic,Interior Color: Ebony,Transmission: 6-Speed Automatic,Drivetrain: FWD","$13,685",2014
GOOD DEAL,https://www.cars.com/vehicledetail/detail/727386757/overview/,"103,550 mi.",2014 Buick Enclave Leather,,"Exterior Color: Mocha Bronze Metallic,Interior Color: Choccachino,Transmission: 6-Speed Automatic,Drivetrain: AWD","$17,995",2014
GREAT DEAL,https://www.cars.com/vehicledetail/detail/725167067/overview/,"72,059 mi.",2014 Mitsubishi Outlander GT,,"Exterior Color: White,Transmission: 6-Speed Automatic,Drivetrain: 4WD","$14,145",2014
NOT A GOOD DEAL,https://www.cars.com/vehicledetail/detail/729730678/overview/,"54,902 mi.",2014 Jeep Cherokee Latitude,,"Exterior Color: Black,Transmission: 9-Speed Automatic","$15,990",2014
GOOD DEAL,https://www.cars.com/vehicledetail/detail/725972448/overview/,"109,965 mi.",2014 Subaru Forester 2.5i,,"Transmission: lineartronic cvt,Drivetrain: All Wheel Drive","$13,990",2014
GOOD DEAL,https://www.cars.com/vehicledetail/detail/725550211/overview/,"80,862 mi.",2014 Jeep Cherokee Latitude,,"Exterior Color: Gray,Interior Color: Black,Transmission: 9-Speed Automatic,Drivetrain: 4WD","$12,995",2014
GOOD DEAL,https://www.cars.com/vehicledetail/detail/725920436/overview/,"85,345 mi.",2014 Jeep Cherokee Trailhawk,,"Exterior Color: Anvil Clearcoat,Interior Color: Black,Transmission: 9-Speed Automatic,Drivetrain: 4WD","$18,995",2014
GOOD DEAL,https://www.cars.com/vehicledetail/detail/712081785/overview/,"57,330 mi.",2014 Honda CR-V EX-L,,"Exterior Color: Alabaster Silver Metallic,Interior Color: Black,Transmission: 5-Speed Automatic,Drivetrain: AWD","$17,995",2014
GOOD DEAL,https://www.cars.com/vehicledetail/detail/728834037/overview/,"35,700 mi.",2014 Nissan Pathfinder SL,,"Exterior Color: Black,Interior Color: Black,Transmission: xtronic cvt (continuously variable),Drivetrain: Four Wheel Drive","$18,995",2014
GOOD DEAL,https://www.cars.com/vehicledetail/detail/725898667/overview/,"52,300 mi.",2014 Dodge Durango SXT,,"Exterior Color: Gray,Interior Color: Black,Transmission: 8-SPEED A/T,Drivetrain: All Wheel Drive","$17,995",2014
GOOD DEAL,https://www.cars.com/vehicledetail/detail/724894416/overview/,"80,492 mi.",2014 Acura RDX,,"Exterior Color: White Diamond Pearl,Interior Color: Parchment,Transmission: 6-Speed Automatic w/OD,Drivetrain: FWD","$16,988",2014
GREAT DEAL,https://www.cars.com/vehicledetail/detail/723523466/overview/,"57,619 mi.",2014 Ford Escape Titanium,,"Exterior Color: Ingot Silver Metallic,Interior Color: Medium Light Stone,Transmission: 6-Speed Automatic w/OD,Drivetrain: 4WD","$15,495",2014
